Zip,MedianAge,MedianIncome,PercentCollege,PercentMale,PercentMarried,PercentWhite,PercentBlack,PercentAsian,PercentOtherRace
11102,36.7,102996,58.2,49.8,37.9,52,6.5,15.7,25.8
11103,36.4,92787,52.4,49.9,42.4,59.8,2.9,12.8,24.5
11104,39.7,84716,51.3,48.6,44.8,44.7,2.9,28.3,24.1
11105,36.2,100306,54.6,49.9,43.5,65.1,4.2,10.7,20
11106,36.4,85573,52.3,49.3,36.2,47,8,18.5,26.5
11109,34.8,198773,87.2,54.4,58.8,61.6,0.6,27.9,9.9
11201,35.2,169285,79.2,46.6,41.3,60.4,12.4,14.4,12.8
11203,43.2,68028,25.9,45.7,32.5,5.6,79.5,1.8,13.1
11204,34.3,67588,30.5,48.8,56.1,55.1,1.2,29.2,14.5
11205,30.5,86753,52.5,46.4,34.2,54.2,21.6,6.7,17.5
11206,30.7,57280,36.3,47.1,30.6,42.2,20.5,6.6,30.7
11207,36.4,55419,19.4,44.7,28.9,11.2,59.4,1.6,27.8
11208,34.3,59988,15.8,48.5,36.4,10.6,44.9,10.5,34
11209,41.9,92656,52.9,48.3,48,64.9,3,13.6,18.5
11210,39.5,83261,39.3,49.7,41.3,30.7,51,5.5,12.8
11211,31.4,105183,54.8,50.5,36.2,62.9,6,7,24.1
11212,35.6,40060,16.4,42.5,23.4,6.7,70.1,1.1,22.1
11213,34.5,62040,34,46.8,30.5,25,58.6,1.7,14.7
11214,41.1,64286,32.4,49.1,52,42.1,2.2,37.7,18
11215,37.4,180773,80.3,49.9,55,71.2,3.6,9.1,16.1
11216,34.8,95000,55.8,44.4,27.1,31.5,47.2,5.1,16.2
11217,35.9,158314,72.9,46.3,38.3,52.6,17.6,9.5,20.3
11218,37.7,95916,51,50.6,48.1,52.2,9.4,18.7,19.7
11219,25.5,55685,21.5,51.8,56.5,61.5,1.4,21.2,15.9
11220,37.2,64201,25.4,49.6,49.8,22.4,2.5,40.1,35
11221,32.8,85122,42,46.7,26.2,22.8,40.6,5.7,30.9
11222,34.9,123963,65.4,48.6,35.6,71,4.2,5.8,19
11223,36.4,63950,33.6,48.1,51.8,52.8,5.7,26.1,15.4
11224,47.6,41449,33.5,45.6,39.2,49.7,23.8,8.5,18
11225,38.1,85201,48.1,47.4,32.6,28.5,54.1,3,14.4
11226,36.5,81084,36.2,46.7,33.1,15.8,60.5,4.1,19.6
11228,44.1,80737,37.1,49.5,52.7,50.9,1.4,36.6,11.1
11229,42.5,72556,41.3,48.6,54.6,60.8,6.6,22.3,10.3
11230,36,69522,43.7,49.6,49.9,60.3,8.7,16.7,14.3
11231,37.7,138485,69.1,46.9,46.5,64.5,12.4,4.9,18.2
11232,36.7,87517,36.2,55,39.6,34.6,7.3,15,43.1
11233,35.2,62034,32.6,46.3,27,14.2,68.3,1.5,16
11234,43.3,94434,38.8,46.2,46.6,36.3,42.8,8.2,12.7
11235,47.2,61689,49.6,47.5,52.6,68.6,2.9,14.7,13.8
11236,40.4,82813,28.5,45.8,36.4,4.9,80.4,2.4,12.3
11237,33.3,82570,41.3,51.3,30.3,31.8,13.1,6.8,48.3
11238,35.7,132957,71.2,45.1,37,50,25.1,7,17.9
11239,48.8,35675,22.1,39.3,26.1,16.1,60.9,3,20
11249,30.5,121400,59.1,47.5,44.7,67.6,9.8,5.3,17.3
11354,48.1,62833,32.9,48,50.6,17,3.2,64.7,15.1
11355,46.7,53700,23.5,48.1,54.6,8.4,2.5,74.6,14.5
11356,39.4,91445,25,50.1,51.1,22.5,0.6,35.3,41.6
11357,48.4,97754,37.8,46.3,55.5,58.3,0.5,25.2,16
11358,43.8,88729,37.3,49.3,56.2,31.5,0.8,49.2,18.5
11360,53,100250,49.1,47.3,52.3,56.7,1.6,29.8,11.9
11361,42.9,108391,48.1,46,53.2,41.5,3.7,41.8,13
11362,50.5,118989,52.2,48.1,57.6,39.8,3.8,48.5,7.9
11363,49.6,110833,54.9,47.3,57.6,56.8,0.5,28.9,13.8
11364,46.3,101222,48.7,48.2,57.9,32,2.6,50.7,14.7
11365,44,85375,38.8,48.1,53.8,24.7,11.4,43.4,20.5
11366,42.5,117402,51.9,51.2,58.1,32.3,5,43.9,18.8
11367,35.8,75804,45.7,46,47.8,45.5,8.9,25.3,20.3
11368,35.1,71798,14.4,51.9,39.8,15.7,9.9,12.2,62.2
11369,39.2,80577,23.7,52.4,38.5,12.7,18.2,14.2,54.9
11370,40.3,74895,24.8,54.8,41.8,34.3,7.5,25.1,33.1
11372,42.4,77133,35.1,51.9,43.8,30.6,1.9,20.8,46.7
11373,38.3,71470,29.6,50.2,46.4,9.2,1.8,48.1,40.9
11374,42.2,86333,50.6,48.2,50.3,42.5,4.3,29.7,23.5
11375,44.5,104319,60.6,47.8,53.7,50.9,3.1,28,18
11377,40.2,73292,33,49.5,42.4,29.6,2.4,36.2,31.8
11378,41.5,84762,26.2,49.7,48.9,56.5,0.8,14.8,27.9
11379,46.7,92509,35,48.7,50.4,66.2,1.6,11.4,20.8
11385,36.1,87365,34.2,49.2,40.7,53.5,3.8,6.9,35.8
11411,46.7,118393,35.5,44.2,41.3,3.2,85.2,2.2,9.4
11412,40.4,98418,25.2,44.7,35.7,1.5,79.4,4.2,14.9
11413,39.8,114766,29.4,44.3,33.3,1.6,85.6,1.6,11.2
11414,45.1,98209,31.3,49.1,53.7,66.6,6.2,4.8,22.4
11415,37.5,88632,53,51,45,48.3,7.1,20.4,24.2
11416,38.6,85544,24.8,50.8,46.7,17.3,5.1,32.7,44.9
11417,39.2,86330,24.7,48,47.7,25.4,7.4,29.4,37.8
11418,39.9,84927,32.4,50.2,49.5,23,8.2,24,44.8
11419,42.2,91231,20.7,51.4,48.9,5.6,11.8,34.4,48.2
11420,41,98584,21.8,51.8,47.2,7,20.9,34.1,38
11421,39,89439,26.1,50.5,46.6,22.6,5.6,20.4,51.4
11422,41.9,108519,33.3,46.8,37.2,7.1,79.6,2,11.3
11423,43.9,80870,34.3,48.4,45.4,10.8,34.3,30.8,24.1
11426,46.4,107591,43.9,51,60.9,24.6,5.6,50.2,19.6
11427,46.3,92129,35.7,48.5,50,16.8,22.8,37.4,23
11428,46.5,84977,27.7,50.4,54.8,10,17.5,32.6,39.9
11429,42.3,98232,26.8,46.7,40.1,4.4,66.5,6.7,22.4
11430,28.7,,5.4,50,20.8,49.3,35.5,2,13.2
11432,39.6,75395,35.7,49.6,48.9,13.9,18.3,42.3,25.5
11433,35.1,71177,19.1,46.9,44.5,2.7,55,17.4,24.9
11434,40.1,76668,22.2,44.9,34.3,3.4,78.6,3.5,14.5
11435,36.6,79430,32.3,50.5,45.1,14.1,25.1,22.8,38
11436,38.9,86104,22.2,47.4,40.1,1.8,60.5,6.6,31.1
11439,19.2,,100,44.4,0.4,49.6,21.6,7.6,21.2
11691,36,57027,23.3,47.6,36.7,28,42.4,4.1,25.5
11692,36.8,49507,26.5,47.5,35.3,16.2,55.7,5.6,22.5
11693,44.9,67829,35.7,42,39.1,51,25.7,4.6,18.7
11694,44.1,103792,43.2,48.1,46.2,77.2,8.2,1.8,12.8
11697,49.8,134844,52,46.9,53.3,98.2,0,0.7,1.1
