Borough,UHF42,Zip,PoorPhysicalHealthPercent,PoorMentalHealthPercent,HighBPPercent,avgHVI,MedianAge,MedianIncome,PercentCollege,PercentMale,PercentMarried,PercentWhite,PercentBlack,PercentAsian,PercentOtherRace,Percent65plus,ForeignBornPercent,RacialDiversityIndex,MedianHouseholdIncome,PovertyRate,UnemployRate,BAdegreePercent,HomeownershipPercent
QN,407,11417,13.1,16.4,29.1,3.6,39.2,86330.0,24.7,48.0,47.7,25.4,7.4,29.4,37.8,12.6,45.9,0.76,66690.0,14.6,7.7,24.3,42.8
QN,407,11418,13.5,16.2,28.2,2.5,39.9,84927.0,32.4,50.2,49.5,23.0,8.2,24.0,44.8,12.6,45.9,0.76,66690.0,14.6,7.7,24.3,42.8
QN,407,11419,14.4,17.7,30.2,3.75,42.2,91231.0,20.7,51.4,48.9,5.6,11.8,34.4,48.2,12.6,45.9,0.76,66690.0,14.6,7.7,24.3,42.8
QN,407,11420,14.1,17.6,31.6,3.0,41.0,98584.0,21.8,51.8,47.2,7.0,20.9,34.1,38.0,12.6,45.9,0.76,66690.0,14.6,7.7,24.3,42.8
QN,407,11421,13.3,15.8,27.5,3.5,39.0,89439.0,26.1,50.5,46.6,22.6,5.6,20.4,51.4,12.6,45.9,0.76,66690.0,14.6,7.7,24.3,42.8
QN,408,11412,13.0,17.2,38.1,5.0,40.4,98418.0,25.2,44.7,35.7,1.5,79.4,4.2,14.9,12.6,45.9,0.76,66690.0,14.6,7.7,24.3,42.8
QN,408,11423,12.5,15.3,33.3,4.0,43.9,80870.0,34.3,48.4,45.4,10.8,34.3,30.8,24.1,12.6,45.9,0.76,66690.0,14.6,7.7,24.3,42.8
QN,408,11432,12.6,14.7,31.0,2.8333333333333335,39.6,75395.0,35.7,49.6,48.9,13.9,18.3,42.3,25.5,12.6,45.9,0.76,66690.0,14.6,7.7,24.3,42.8
QN,408,11433,14.7,18.5,35.9,5.0,35.1,71177.0,19.1,46.9,44.5,2.7,55.0,17.4,24.9,12.6,45.9,0.76,66690.0,14.6,7.7,24.3,42.8
QN,408,11434,13.7,17.5,38.8,4.5,40.1,76668.0,22.2,44.9,34.3,3.4,78.6,3.5,14.5,12.6,45.9,0.76,66690.0,14.6,7.7,24.3,42.8
QN,408,11435,13.0,16.1,30.3,3.8,36.6,79430.0,32.3,50.5,45.1,14.1,25.1,22.8,38.0,12.6,45.9,0.76,66690.0,14.6,7.7,24.3,42.8
QN,408,11436,13.7,18.2,34.9,5.0,38.9,86104.0,22.2,47.4,40.1,1.8,60.5,6.6,31.1,12.6,45.9,0.76,66690.0,14.6,7.7,24.3,42.8
QN,409,11004,11.3,12.1,31.1,2.0,48.8,109865.0,44.0,48.7,56.8,28.7,5.7,52.0,13.6,12.6,45.9,0.76,66690.0,14.6,7.7,24.3,42.8
QN,409,11411,11.7,15.0,39.6,4.25,46.7,118393.0,35.5,44.2,41.3,3.2,85.2,2.2,9.4,12.6,45.9,0.76,66690.0,14.6,7.7,24.3,42.8
QN,409,11413,12.1,16.5,38.0,4.25,39.8,114766.0,29.4,44.3,33.3,1.6,85.6,1.6,11.2,12.6,45.9,0.76,66690.0,14.6,7.7,24.3,42.8
QN,409,11422,11.8,16.3,36.5,3.3333333333333335,41.9,108519.0,33.3,46.8,37.2,7.1,79.6,2.0,11.3,12.6,45.9,0.76,66690.0,14.6,7.7,24.3,42.8
QN,409,11426,10.5,12.6,28.8,2.6666666666666665,46.4,107591.0,43.9,51.0,60.9,24.6,5.6,50.2,19.6,12.6,45.9,0.76,66690.0,14.6,7.7,24.3,42.8
QN,409,11427,12.0,14.0,32.0,2.6,46.3,92129.0,35.7,48.5,50.0,16.8,22.8,37.4,23.0,12.6,45.9,0.76,66690.0,14.6,7.7,24.3,42.8
QN,409,11428,12.9,15.7,31.2,3.6666666666666665,46.5,84977.0,27.7,50.4,54.8,10.0,17.5,32.6,39.9,12.6,45.9,0.76,66690.0,14.6,7.7,24.3,42.8
QN,409,11429,13.1,16.7,37.2,4.5,42.3,98232.0,26.8,46.7,40.1,4.4,66.5,6.7,22.4,12.6,45.9,0.76,66690.0,14.6,7.7,24.3,42.8
QN,410,11691,15.2,18.6,35.6,4.5,36.0,57027.0,23.3,47.6,36.7,28.0,42.4,4.1,25.5,12.6,45.9,0.76,66690.0,14.6,7.7,24.3,42.8
QN,410,11692,15.6,19.1,36.2,5.0,36.8,49507.0,26.5,47.5,35.3,16.2,55.7,5.6,22.5,12.6,45.9,0.76,66690.0,14.6,7.7,24.3,42.8
QN,410,11693,14.1,17.0,33.2,4.0,44.9,67829.0,35.7,42.0,39.1,51.0,25.7,4.6,18.7,12.6,45.9,0.76,66690.0,14.6,7.7,24.3,42.8
QN,410,11694,12.8,15.1,33.2,4.0,44.1,103792.0,43.2,48.1,46.2,77.2,8.2,1.8,12.8,12.6,45.9,0.76,66690.0,14.6,7.7,24.3,42.8
QN,410,11697,11.2,13.4,33.1,3.0,49.8,134844.0,52.0,46.9,53.3,98.2,0.0,0.7,1.1,12.6,45.9,0.76,66690.0,14.6,7.7,24.3,42.8
SI,501,10302,12.2,16.5,31.6,3.0,34.8,76089.0,28.9,53.0,41.5,33.4,22.5,6.0,38.1,11.6,16.4,0.47,86500.0,10.0,5.9,23.2,63.8
SI,501,10303,13.1,17.7,33.1,2.3333333333333335,37.6,79429.0,29.6,46.7,40.2,26.3,35.8,10.0,27.9,11.6,16.4,0.47,86500.0,10.0,5.9,23.2,63.8
SI,501,10310,12.7,17.0,32.0,2.3333333333333335,36.0,106118.0,30.8,48.2,46.8,50.1,21.8,5.2,22.9,11.6,16.4,0.47,86500.0,10.0,5.9,23.2,63.8
SI,502,10301,12.4,16.0,34.4,2.2,36.7,84937.0,38.2,48.6,36.7,44.0,24.5,7.7,23.8,11.6,16.4,0.47,86500.0,10.0,5.9,23.2,63.8
SI,502,10304,12.9,16.6,34.1,2.2,39.1,71506.0,31.4,48.0,41.0,43.1,26.2,13.3,17.4,11.6,16.4,0.47,86500.0,10.0,5.9,23.2,63.8
SI,502,10305,11.6,15.2,32.0,2.3333333333333335,44.1,86294.0,31.9,49.4,48.1,64.6,3.0,20.7,11.7,11.6,16.4,0.47,86500.0,10.0,5.9,23.2,63.8
SI,503,10314,11.1,14.7,31.9,1.5,41.4,104655.0,37.2,48.9,52.9,65.6,3.8,18.6,12.0,11.6,16.4,0.47,86500.0,10.0,5.9,23.2,63.8
SI,504,10306,11.9,15.4,32.5,1.4,41.9,97746.0,33.6,49.4,49.7,69.0,3.3,15.7,12.0,11.6,16.4,0.47,86500.0,10.0,5.9,23.2,63.8
SI,504,10307,9.8,14.8,29.8,1.0,41.2,138807.0,39.5,52.4,60.7,85.5,0.0,4.7,9.8,11.6,16.4,0.47,86500.0,10.0,5.9,23.2,63.8
SI,504,10308,11.2,15.3,30.9,1.0,43.2,122654.0,40.3,47.9,56.3,83.0,0.8,7.5,8.7,11.6,16.4,0.47,86500.0,10.0,5.9,23.2,63.8
SI,504,10309,11.0,15.6,30.6,1.0,42.2,123638.0,39.9,49.3,59.6,87.9,0.4,4.0,7.7,11.6,16.4,0.47,86500.0,10.0,5.9,23.2,63.8
SI,504,10312,10.6,14.7,31.0,1.0,40.6,111434.0,40.9,48.9,54.0,79.0,1.3,9.5,10.2,11.6,16.4,0.47,86500.0,10.0,5.9,23.2,63.8
