,Zip,Borough,avgHVI
106,10170,MN,1.0
106,10171,MN,1.0
107,10023,MN,1.0
107,10069,MN,1.0
107,10082,MN,1.0
107,10133,MN,1.0
108,10024,MN,1.0
108,10025,MN,1.3333333333333333
108,10132,MN,1.0
109,10026,MN,2.6666666666666665
110,10021,MN,1.0
110,10044,MN,1.0
110,10065,MN,1.0
110,10075,MN,1.0
110,10162,MN,1.0
113,10028,MN,1.0
113,10128,MN,2.0
113,10131,MN,2.0
115,10027,MN,3.75
115,10115,MN,3.75
115,10116,MN,3.75
116,10031,MN,3.0
117,10030,MN,4.0
117,10032,MN,2.5
117,10039,MN,4.333333333333333
118,10035,MN,5.0
119,10037,MN,5.0
120,10029,MN,4.5
122,10033,MN,1.5
123,10034,MN,2.0
123,10040,MN,2.0
125,11102,QN,2.3333333333333335
125,11103,QN,2.3333333333333335
125,11105,QN,2.0
125,11370,QN,2.6666666666666665
126,11106,QN,2.6666666666666665
127,11101,QN,2.6
127,11120,QN,2.6
128,11377,QN,2.8333333333333335
130,11109,QN,2.0
131,11104,QN,3.0
131,11378,QN,3.0
132,11373,QN,3.0
132,11380,QN,3.0
133,11368,QN,3.1666666666666665
133,11369,QN,3.0
133,11371,QN,3.0
133,11372,QN,3.0
138,11379,QN,2.3333333333333335
138,11381,QN,2.3333333333333335
138,11385,QN,2.25
138,11386,QN,2.25
140,11374,QN,2.25
143,11375,QN,2.0
144,11351,QN,2.0
144,11354,QN,3.0
144,11356,QN,2.0
144,11357,QN,2.0
144,11390,QN,2.0
146,11358,QN,2.5
146,11359,QN,1.6666666666666667
146,11360,QN,1.6666666666666667
147,11352,QN,3.0
147,11355,QN,3.0
148,11365,QN,2.4
149,11367,QN,2.0
151,11366,QN,1.75
151,11431,QN,2.8333333333333335
151,11432,QN,2.8333333333333335
151,11435,QN,3.8
151,11439,QN,2.8333333333333335
154,11423,QN,4.0
154,11427,QN,2.6
156,11415,QN,2.5
156,11418,QN,2.5
156,11424,QN,1.0
157,11419,QN,3.75
157,11421,QN,3.5
161,11420,QN,3.0
161,11430,QN,3.0
161,11499,QN,3.0
163,11414,QN,2.0
164,11361,QN,2.0
164,11364,QN,1.5
166,11362,QN,1.0
166,11363,QN,1.0
168,11405,QN,5.0
168,11412,QN,5.0
168,11433,QN,5.0
168,11451,QN,5.0
169,11425,QN,4.5
169,11434,QN,4.5
170,11436,QN,5.0
171,11413,QN,4.25
172,11001,QN,4.5
172,11003,QN,4.25
172,11411,QN,4.25
172,11429,QN,4.5
173,11002,QN,3.6666666666666665
173,11428,QN,3.6666666666666665
174,11004,QN,2.0
174,11005,QN,2.0
